           A         B         C         D         E         F
0   2.061108  2.223605 -2.001876 -0.289498  0.001876 -1.509650
1   0.999999 -0.000631  0.564914  1.770657  0.435086 -0.001267
2   2.951692  0.912062 -1.179819  2.724621  0.179819 -0.312096
3   2.679275 -0.487961 -0.749396 -1.457427 -0.250604  0.824022
4   0.820776 -1.165371  1.988598  0.373428  0.011402 -0.608028
5   1.832130 -3.203749  1.959521  1.680202  0.040479 -1.739465
6   0.626284 -3.648604 -2.162963  0.871298  0.162963 -0.894019
7   0.304924  0.726875 -1.937534  0.582446 -0.062466 -1.260937
8   2.795416 -1.732369 -1.055098  1.085597  0.055098 -0.651103
9   0.494396  0.611335  1.072610  1.828028 -0.072610 -1.053657
10  0.721185  4.077820  2.760181  1.414727 -0.760181 -0.765285
11  2.136170 -0.002644  0.003291  0.716541 -0.003291 -1.434201
12  2.135610  7.285928 -2.015259 -0.445094  0.015259 -1.434768
13 -0.242155  3.970781 -2.038460 -0.580219  0.038460 -1.815383
14  0.319158  0.103332 -0.940903  0.298487 -0.059097 -1.245955
15  0.872996 -0.258344 -0.318811  2.145065  0.318811 -0.509485
16  2.811816  2.843112 -2.142677  1.759706  0.142677 -0.623542
17  0.979194  0.245701 -1.335053  2.415147  0.335053  0.204346
18 -0.218636 -1.216557 -0.992170 -0.148261 -0.007830 -1.791213
19  2.694437  0.181170  1.043193 -0.741935 -0.043193 -0.803160
20  2.327689 -0.001530  0.033211  2.525651 -0.033211 -1.236939
21  0.590477 -0.579758 -1.048857  1.857759  0.048857 -0.939147
22  2.923654  0.055819 -0.132419  1.595040  0.132419 -0.393287
23  2.972642 -0.077211 -0.981417  0.488266 -0.018583 -0.234453
24  0.897208 -0.485317 -2.066453  0.545154  0.066453  0.457390
25  0.904399  1.498435 -2.003055  0.015863  0.003055 -0.440827
26  0.729069  0.687741 -1.070815  2.519924  0.070815  0.753836
27  0.171543  0.609277 -1.966586  2.078821 -0.033414 -1.398401
28  2.123052  2.419091 -1.995748  2.114329 -0.004252  1.447432
29  0.587776  0.185837 -1.363904  1.048804  0.363904 -0.942489
