           A    B         C         D         E         F
0   2.979906  0.0 -1.951179  2.616486 -0.048821  0.200805
1   1.915661  0.0 -1.934791  1.177430 -0.065209 -1.655236
2   2.924793  0.0 -1.056582 -0.492824  0.056582 -0.390304
3   1.099653  0.0 -2.555577 -0.698067  0.555577 -2.691362
4   2.978573  0.0 -1.819062  1.562859 -0.180938 -0.207385
5   0.663431  0.0 -0.558575 -1.311118 -0.441425  0.845402
6   0.742184  0.0  1.960421  0.285655  0.039579  0.734474
7   0.862624  0.0 -2.254319  1.170673  0.254319  0.530363
8   0.786668  0.0 -0.428418  2.411075  0.428418 -0.665403
9   0.973433  0.0 -0.955041  2.606851 -0.044959  0.231020
10  2.777813  0.0 -2.074633 -0.927128  0.074633 -0.679618
11  0.636749  0.0  1.242918  2.722679 -0.242918 -0.880521
12  2.930593  0.0 -1.766804 -0.286047 -0.233196 -0.374766
13  2.973002  0.0  1.042730  1.829772 -0.042730 -0.232896
14  0.501973  0.0 -2.310710  2.099073  0.310710 -1.044918
15 -0.095095  0.0  1.040599  1.658800 -0.040599 -1.666035
16  2.840877  0.0 -0.991150  2.531294 -0.008850 -0.571896
17  0.997938  0.0 -2.285705  2.105150  0.285705 -0.064228
18  2.013365  0.0  2.004532  2.599259 -0.004532  1.557431
19  2.936031  0.0  2.455946  2.017051 -0.455946 -0.359619
20  0.995438  0.0 -2.014005  2.686677  0.014005  0.095559
21  0.856513  0.0  0.895531  0.864067  0.104469 -0.542320
22  1.634912  0.0  2.055114  0.838363 -0.055114 -1.944524
23 -0.948850  0.0 -0.375032  1.179352 -0.624968 -2.820371
24  0.768127  0.0 -0.833831  2.208183 -0.166169 -0.694886
25  2.468695  0.0 -2.023109 -0.765375  0.023109 -1.082983
26  0.924458  0.0  0.654223  1.081491  0.345777  0.391185
27  2.978181  0.0 -1.968377  1.602150 -0.031623 -0.209279
28 -0.010526  0.0 -2.001003  0.202227  0.001003 -1.581322
29  0.252748  0.0  1.951599  1.225795  0.048401 -1.315277
