           A         B         C    D         E         F
0   0.982676 -0.744999  2.283957 -2.0 -0.283957 -0.186411
1  -0.060665  3.197225  1.996261 -2.0  0.003739 -1.631499
2   2.858802 -0.057650 -0.287547 -2.0  0.287547 -0.537870
3   0.074813 -1.477102  2.013048 -2.0 -0.013048 -1.495914
4   0.922013  0.182510  1.109433 -2.0 -0.109433  0.397548
5   0.629669  0.844936 -2.206544 -2.0  0.206544 -0.889669
6   1.692734  2.474388 -0.935279 -2.0 -0.064721 -1.883115
7  -0.813717  2.028437  2.132712 -2.0 -0.132712 -2.521314
8   2.827931  0.309238 -1.499315 -2.0 -0.500685 -0.595388
9   2.990021  0.021444  2.306984 -2.0 -0.306984  0.141389
10  2.637089  0.043827 -0.164732 -2.0  0.164732  0.880081
11  0.976723 -0.970989  2.428012 -2.0 -0.428012 -0.216187
12  2.772623  3.480129 -2.339880 -2.0  0.339880 -0.687834
13  0.908607 -0.265456 -0.768204 -2.0 -0.231796 -0.430861
14  2.523588 -0.020759 -0.227064 -2.0  0.227064 -1.019739
15  0.896435  1.244603 -1.737911 -2.0 -0.262089  0.459138
16  0.583146 -5.690028  2.032502 -2.0 -0.032502 -0.948201
17  2.006874 -0.083769  0.998026 -2.0  0.001974 -1.563922
18  2.616088 -3.132730 -1.417313 -2.0  0.417313 -0.907030
19  2.680925  0.107512  1.121050 -2.0 -0.121050 -0.821771
20  0.631926 -0.410236 -1.700896 -2.0 -0.299104 -0.886760
21  0.291733  1.459698  0.958244 -2.0  0.041756  1.274758
22  1.767441 -4.156272 -2.106546 -2.0  0.106546 -1.805505
23  2.536424  0.478130  0.584800 -2.0  0.415200  1.004603
24  0.659834  0.767726 -0.681176 -2.0 -0.318824 -0.850199
25  1.163314  2.637271 -1.895245 -2.0 -0.104755 -2.562000
26 -0.125074  7.275681 -2.027516 -2.0  0.027516 -1.696199
27  0.570989 -0.905684 -1.747670 -2.0 -0.252330 -0.963087
28  0.916191  0.802589  1.785121 -2.0  0.214879 -0.412326
29  2.268950 -2.935195 -2.039528 -2.0  0.039528 -1.298493
30  0.383335  3.063452 -2.033926 -2.0  0.033926 -1.177392
31  2.356673  4.502232 -1.917548 -2.0 -0.082452 -1.206092
32  2.998619  0.107581 -1.306136 -2.0 -0.693864  0.052560
33  2.420197  2.749177  1.792527 -2.0  0.207473 -1.137134
34  2.981011  0.263631 -1.919917 -2.0 -0.080083  0.195190
35  2.231879 -2.156373 -1.010632 -2.0  0.010632 -1.336787
36  2.979070  0.029347  0.547887 -2.0 -0.547887  0.204955
37  2.978383 -0.174914 -1.887792 -2.0 -0.112208 -0.208303
38  0.672900 -0.158306  1.312259 -2.0  0.687741 -0.832675
39  2.852333  1.786685 -2.317340 -2.0  0.317340 -0.550367
