           A         B         C    D         E         F
0   2.329251  0.944271 -2.008263  1.0  0.008263 -1.235286
1   2.946503 -0.020706  0.151197  1.0 -0.151197 -0.328574
2   0.175791 -0.364417 -0.977095  1.0 -0.022905 -1.394087
3   2.972941  0.061486 -1.216467  1.0  0.216467 -0.233160
4   0.561422  0.037934  0.175350  1.0 -0.175350 -0.974693
5   2.489242  0.120339 -0.135090  1.0  0.135090 -1.059576
6   0.985679  0.020274 -0.918973  1.0 -0.081027 -0.169445
7   2.856684  0.319015  0.644439  1.0 -0.644439 -0.541990
8   2.231150  0.992346  2.084506  1.0 -0.084506 -1.337537
9   0.935065  0.018510  1.335682  1.0 -0.335682 -0.362354
10  1.824748  1.895243 -0.959553  1.0 -0.040447 -1.746958
11  2.863200 -0.015538  0.015505  1.0 -0.015505  0.529222
12  2.044809 -0.196297 -1.980265  1.0 -0.019735 -1.525973
13  2.947802 -0.183199 -1.907254  1.0 -0.092746  0.324527
14  0.852736 -0.122724 -0.375114  1.0  0.375114  0.549595
15  0.032752  2.652372  2.002061  1.0 -0.002061  1.538038
16  2.856407  2.132172  1.799281  1.0  0.200719 -0.542526
17  2.871242 -0.405613 -2.050930  1.0  0.050930 -0.513069
18  0.933448 -0.374075 -0.985205  1.0 -0.014795 -0.366890
19  1.553891 -4.550412  1.983549  1.0  0.016451 -2.033209
20  2.914878 -0.167453 -1.209114  1.0  0.209114 -0.415592
21  0.737352  0.308211 -0.912503  1.0 -0.087497  0.741655
22  2.846677  0.549800 -2.128643  1.0  0.128643  0.561088
23  0.317298  1.659571 -1.061305  1.0  0.061305 -1.247917
24  0.638715  0.268801  1.887395  1.0  0.112605 -0.877969
25  2.924339 -0.587260 -1.124515  1.0  0.124515  0.391497
26  2.107385 -2.982689 -0.952581  1.0 -0.047419 -1.463204
27 -0.949399 -5.152478 -2.421737  1.0  0.421737 -2.822113
28  2.895411 -0.371536 -0.437330  1.0 -0.562670  0.461444
29 -0.122081  0.558029 -0.950407  1.0 -0.049593 -1.693183
