      A         B         C         D         E         F
0   1.3 -1.283733 -0.986336  2.495439 -0.013664  1.524114
1   1.3  0.635335 -2.002442  1.663752  0.002442  0.857227
2   1.3  1.232810 -2.074205  2.246487  0.074205  0.226235
3   1.3  0.006506 -0.002295  0.275155  0.002295 -2.353409
4   1.3 -0.046929 -2.005878  2.882301  0.005878  0.349354
5   1.3 -0.089642  0.832279  2.492615  0.167721 -0.120136
6   1.3 -0.173229  1.112335  1.876678 -0.112335 -0.865577
7   1.3 -0.763886  1.181581  2.422060 -0.181581  0.678164
8   1.3 -0.318204 -2.089786  2.692576  0.089786 -0.318299
9   1.3 -0.003773  2.060518  0.921017 -0.060518  0.013455
10  1.3 -3.630721 -1.220319  2.375052  0.220319 -2.561714
11  1.3  1.200535 -0.978685  0.298153 -0.021315 -1.041900
12  1.3 -0.036435  0.015007  1.719068 -0.015007 -1.794994
13  1.3 -0.075105  0.877410  1.103665  0.122590 -0.622534
14  1.3 -1.700347 -1.830498  2.573770 -0.169502 -0.498404
15  1.3  2.716843  1.924899  1.863874  0.075101 -1.792174
16  1.3 -0.003805 -0.105935  2.437993  0.105935 -0.039107
17  1.3  0.227424 -1.761266  2.183308 -0.238734  0.168650
18  1.3 -1.358174 -1.268340  1.162869  0.268340 -1.191404
19  1.3 -0.284578 -1.034154  1.258793  0.034154 -1.774533
20  1.3 -2.781031  1.752993  0.301920  0.247007 -0.743911
21  1.3  4.638365 -2.007507  2.518438  0.007507  1.515378
22  1.3 -2.496526 -1.127233  1.598925  0.127233 -1.974044
23  1.3  0.188852 -1.090520  2.598733  0.090520 -0.351133
24  1.3 -0.592545 -1.950225 -0.981157 -0.049775 -1.262625
25  1.3  1.771570 -0.979960  1.483859 -0.020040 -1.679958
26  1.3  0.338273  0.886014  2.642697  0.113986 -0.663608
27  1.3  0.566927 -0.893902  0.724566 -0.106098 -1.028696
28  1.3 -0.026848 -0.689640  1.927462 -0.310360  0.034149
29  1.3  0.001348  0.011668 -0.447583 -0.011668 -1.452085
30  1.3  0.101335  0.263313  1.322247 -0.263313 -2.527860
31  1.3  1.955056 -2.010483  2.128396  0.010483  1.469034
32  1.3 -2.859150  1.972339 -0.102956  0.027661 -0.695785
33  1.3 -0.112177 -0.772233 -0.803953 -0.227767  0.166521
34  1.3 -1.490069 -1.943451 -0.753732 -0.056549 -1.103179
35  1.3 -5.638960  2.008391 -0.387397 -0.008391 -2.026306
36  1.3 -7.920507  2.205633  1.119069 -0.205633 -1.218334
37  1.3 -1.706914 -1.916287  0.266858 -0.083713 -1.256314
38  1.3 -0.165196  0.998518  0.914039  0.001482 -1.561211
39  1.3  8.534227 -1.231883  1.305300  0.231883 -3.618712
40  1.3  1.649990  1.248790  2.030537 -0.248790 -1.151369
41  1.3  0.503973 -2.043086  0.371656  0.043086 -1.405772
42  1.3  0.217393  0.866765  0.465243  0.133235 -0.099639
43  1.3 -5.196220 -2.009499  0.698375  0.009499 -1.069152
44  1.3  0.995399 -1.279048  2.170006  0.279048 -0.352212
45  1.3 -0.035573  0.098657  2.369780 -0.098657 -0.391549
46  1.3  4.983014 -2.394197  1.733026  0.394197 -1.051707
47  1.3  0.342392 -1.951582 -0.139094 -0.048418  0.098017
48  1.3 -1.172794 -1.678670  1.370696 -0.321330 -0.933307
49  1.3  0.733230  1.558470  1.207627  0.441530 -0.491211
