           A          B    C         D    E         F
0  -0.259066   6.322357 -4.0 -0.532224  2.0 -1.832852
1  -0.627980 -27.605429 -4.0 -0.480993  2.0 -2.249752
2   0.998526   0.000000  0.0 -0.875118  2.0 -0.054308
3   2.969004   0.240432 -4.0  2.228478  2.0  0.249631
4   0.152083  -1.296027 -1.0 -0.811917  2.0 -1.418121
5  -0.408488  -1.646264 -4.0  1.535776  2.0 -1.991593
6   1.543913  -0.000000  0.0  2.059267  2.0 -2.044390
7   0.888115  -0.947162 -2.0  0.753546  2.0 -0.477570
8   2.936372  -0.147359 -3.0  0.639512  2.0 -0.358648
9   2.921423  -1.732452 -3.0 -0.760554  2.0 -0.399070
10  1.711363   5.439677 -3.0  0.556639  2.0 -1.863599
11  0.528505  -0.000000  0.0  0.589642  2.0 -1.013957
12  0.989423   0.512019 -4.0  2.081486  2.0 -0.145570
13  0.830615   0.000000  0.0  2.653804  2.0  0.590585
14  0.477838   0.455844 -1.0  1.968021  2.0 -1.072604
15  0.999934   0.004036 -1.0  2.523738  2.0 -0.011522
16 -0.236557  -2.050965 -4.0  1.137238  2.0 -1.809617
17  2.044053  13.229432 -4.0 -0.944366  2.0 -1.526729
18  0.536832   0.404516 -4.0  2.277119  2.0 -1.004119
19  2.993911   0.000000  0.0  2.266769  2.0  0.110412
20  0.899504   3.428510 -4.0  1.442609  2.0  0.452164
21  0.977422   0.011702 -3.0  2.207835  2.0 -0.212901
22  2.815611  -0.000000  0.0  2.043058  2.0 -0.617012
23  0.950033  -0.000000  0.0  1.120546  2.0 -0.317454
24  0.887569  -0.580370 -4.0  0.070341  2.0  0.478756
25  2.994019   0.833244 -3.0  0.237680  2.0 -0.109424
26  2.505406  -2.317199 -4.0  1.747139  2.0 -1.040944
27  0.302735  -1.639603 -3.0  1.270226  2.0 -1.263235
28  0.701755  -5.984861 -4.0  0.468023  2.0 -0.792939
29  2.602703  -2.803626 -3.0  1.754377  2.0 -0.923912
30  2.019448   9.759153 -4.0  0.584539  2.0 -1.551347
31  2.186001   0.326448 -1.0  1.477679  2.0 -1.383705
32  2.866985  -2.923276 -4.0  2.316110  2.0  0.521677
33  1.839404  -0.000000  0.0  2.372899  2.0 -1.732091
34  0.173065  -0.000000  0.0  2.175669  2.0 -1.396855
35  1.572701  -4.231885 -4.0 -0.456658  2.0 -2.012300
36  0.884039   0.000000  0.0  1.705175  2.0 -0.486363
37  2.769419  -0.032051 -1.0  2.359765  2.0  0.692866
38  2.820802  -0.527063 -1.0 -0.408278  2.0 -0.607983
39  0.978316  -0.312447 -4.0  0.849033  2.0 -0.208629
40  0.723480  -3.187817 -3.0  2.371051  2.0 -0.761967
41  1.447673  -0.000000  0.0 -0.142129  2.0 -2.155949
42  2.938512  -0.690874 -2.0  0.087084  2.0  0.352501
43  0.472163  -2.121330 -3.0  2.192523  2.0  1.079053
44 -0.657237 -17.691537 -4.0  0.171171  2.0 -2.287943
45  0.920892  -1.780025 -3.0 -1.093929  2.0 -0.400435
46  2.984793   0.275186 -3.0 -0.193425  2.0 -0.174617
47  2.911184   1.517215 -4.0  2.733161  2.0 -0.424648
48  0.991250  -0.040605 -1.0 -0.920265  2.0 -0.132385
49  0.958088  -0.732223 -4.0  2.729379  2.0  0.290546
