           A         B         C         D         E    F
0   0.070737 -2.034249 -1.004999  2.378032  0.004999 -1.5
1   0.070737 -0.221701 -1.982580  1.556471 -0.017420 -1.5
2   0.070737 -0.035294  0.008294 -0.577117 -0.008294 -1.5
3   2.070737  6.114917 -1.998252  0.746600 -0.001748 -1.5
4   0.070737 -2.533003 -2.034726  2.266021  0.034726 -1.5
5   0.070737  6.057697 -1.010138  2.364642  0.010138 -1.5
6   2.070737 -0.009097  0.003807  0.570215 -0.003807 -1.5
7   0.070737  0.468930 -1.026416  2.219301  0.026416 -1.5
8   2.070737 -1.952959  2.008752  1.116333 -0.008752 -1.5
9   2.070737  0.026758 -0.017531  0.375820  0.017531 -1.5
10  0.070737  0.803661 -0.995411  1.207283 -0.004589 -1.5
11  2.070737  1.772784 -1.993988  2.342187 -0.006012 -1.5
12  0.070737 -0.721061 -1.984241  1.913780 -0.015759 -1.5
13  2.070737 -0.932121 -2.000546  0.784752  0.000546 -1.5
14  2.070737 -3.630604 -1.985238  2.302226 -0.014762 -1.5
15  0.070737  4.863544 -2.003971  2.483829  0.003971 -1.5
16  0.070737  3.180574 -1.996825  0.400849 -0.003175 -1.5
17  0.070737 -1.835565 -1.007368 -1.057412  0.007368 -1.5
18  0.070737  0.002586  0.000726 -0.397245 -0.000726 -1.5
19  0.070737 -0.829175 -1.996534 -0.068865 -0.003466 -1.5
20  0.070737  0.763044 -1.935947  1.588610 -0.064053 -1.5
21  0.070737 -0.374069 -1.955379 -1.260491 -0.044621 -1.5
22  2.070737 -1.661246  1.003606  0.429734 -0.003606 -1.5
23  2.070737  1.050164 -1.005013  0.337546  0.005013 -1.5
24  0.070737 -0.348600 -0.960819 -0.715325 -0.039181 -1.5
25  0.070737  0.001879 -0.002560  0.068215  0.002560 -1.5
26  2.070737 -0.145401 -2.004216  0.748136  0.004216 -1.5
27  2.070737  2.592684  1.004154  0.661986 -0.004154 -1.5
28  0.070737  0.447387  0.996260  0.890606  0.003740 -1.5
29  0.070737 -4.045080  1.984082  1.630931  0.015918 -1.5
30  2.070737  4.186275  2.000805  1.905609 -0.000805 -1.5
31  2.070737 -0.304236  1.979301  2.509830  0.020699 -1.5
32  0.070737  1.911296 -2.030521  1.092221  0.030521 -1.5
33  2.070737  1.649221 -1.017279  1.759433  0.017279 -1.5
34  2.070737 -0.950520 -1.993338  1.476251 -0.006662 -1.5
35  0.070737 -0.857908  1.000310 -0.610743 -0.000310 -1.5
36  0.070737 -6.886635  2.012320 -0.873545 -0.012320 -1.5
37  2.070737  0.006915  0.024515  1.462110 -0.024515 -1.5
38  2.070737 -1.558837  1.019991  2.469673 -0.019991 -1.5
39  2.070737  0.011342 -0.021755  2.338964  0.021755 -1.5
40  0.070737  0.354052 -1.997956  0.228163 -0.002044 -1.5
41  2.070737  1.640922 -1.967215  1.610296 -0.032785 -1.5
42  0.070737 -0.257704 -1.012740  1.302859  0.012740 -1.5
43  0.070737  1.036781 -1.012099  0.410693  0.012099 -1.5
44  0.070737  3.644450  1.980320  1.679129  0.019680 -1.5
45  2.070737  1.624087 -1.954243  0.930239 -0.045757 -1.5
46  2.070737  2.045607  1.991111  1.202737  0.008889 -1.5
47  0.070737  1.367641 -1.994952  2.006846 -0.005048 -1.5
48  2.070737 -1.268238 -2.025360  1.412033  0.025360 -1.5
49  0.070737  0.355168 -1.025073  1.946693  0.025073 -1.5
