           A          B         C         D         E    F
0   1.583853  -0.207292 -0.169351  1.248719  0.169351  2.0
1  -0.416147  -3.439788  1.813017  1.475982  0.186983  2.0
2  -0.416147  -0.166969 -0.050818  1.117219  0.050818  2.0
3  -0.416147   4.316324 -2.003380  2.714084  0.003380  2.0
4  -0.416147   3.984449 -1.790793  1.404848 -0.209207  2.0
5   1.583853   4.095935 -2.015542 -0.997942  0.015542  2.0
6  -0.416147  -1.506833 -0.982063  2.374894 -0.017937  2.0
7  -0.416147  -0.376534 -0.992461  2.749713 -0.007539  2.0
8   1.583853  -0.119733  2.164708  2.514911 -0.164708  2.0
9  -0.416147  -0.118107 -0.881873 -1.021694 -0.118127  2.0
10 -0.416147   4.920412 -2.144680  0.783208  0.144680  2.0
11  1.583853  -0.401725 -2.060126 -0.802293  0.060126  2.0
12  1.583853   1.869462 -0.820567  1.724944 -0.179433  2.0
13  1.583853  -0.251780  0.822808  2.012237  0.177192  2.0
14 -0.416147   0.167984  0.675076  1.125705  0.324924  2.0
15  1.583853  -0.009632  2.042383  1.635007 -0.042383  2.0
16  1.583853   0.000319  0.012174  2.217978 -0.012174  2.0
17  1.583853   0.525141  2.001591  2.271468 -0.001591  2.0
18 -0.416147  -2.502009 -1.935602 -1.452175 -0.064398  2.0
19  1.583853   2.444638  0.902927  2.225961  0.097073  2.0
20 -0.416147  -1.173110  1.058487  2.540249 -0.058487  2.0
21 -0.416147  -1.415799 -1.086829  2.895565  0.086829  2.0
22  1.583853  -2.910792 -1.098572  2.368935  0.098572  2.0
23  1.583853   2.938864  1.048193  1.616832 -0.048193  2.0
24  1.583853   4.675620 -2.006706 -0.183676  0.006706  2.0
25  1.583853   2.652108  2.170537  1.999386 -0.170537  2.0
26  1.583853   0.146010 -0.057420  1.384718  0.057420  2.0
27 -0.416147  -0.018332 -0.009368  2.859110  0.009368  2.0
28  1.583853   6.750394 -2.203301  2.029479  0.203301  2.0
29  1.583853   0.402237 -2.156117  1.919048  0.156117  2.0
30  1.583853   6.240117  2.090589  2.016489 -0.090589  2.0
31  1.583853   0.101536 -0.077691  2.509749  0.077691  2.0
32 -0.416147   0.720493 -1.002461  2.639786  0.002461  2.0
33  1.583853  -8.964671  2.118991  0.870978 -0.118991  2.0
34  1.583853  11.530970 -1.966144  2.599118 -0.033856  2.0
35  1.583853   1.475523 -1.846471 -0.930268 -0.153529  2.0
36 -0.416147  -1.774059 -2.013751 -0.273544  0.013751  2.0
37  1.583853  -8.278838 -2.271747  2.120996  0.271747  2.0
38 -0.416147  -5.482715  2.008867 -0.053450 -0.008867  2.0
39 -0.416147   4.917165 -2.000097  0.003318  0.000097  2.0
40  1.583853   2.346094 -1.236061 -1.347859  0.236061  2.0
41  1.583853  -0.212470 -0.926087  2.418535 -0.073913  2.0
42 -0.416147  -0.111973 -1.908513  2.047959 -0.091487  2.0
43 -0.416147   0.236671  1.961377  0.972872  0.038623  2.0
44 -0.416147  -3.173664  2.073557  0.437638 -0.073557  2.0
45  1.583853   3.134186 -0.905521  1.022565 -0.094479  2.0
46 -0.416147   4.342548  1.972193  2.283258  0.027807  2.0
47 -0.416147   1.707609 -1.918159  2.205574 -0.081841  2.0
48  1.583853   2.466879 -1.964699  1.718991 -0.035301  2.0
49 -0.416147  -1.787862 -0.939682  2.548821 -0.060318  2.0
