           A          B    C         D    E    F
0   1.583853  -1.503820 -3.0  1.126466  2.0  2.0
1  -0.416147 -15.431530 -4.0  2.067553  2.0  2.0
2   1.583853  10.507323 -4.0  2.087099  2.0  2.0
3   1.583853  11.896590 -4.0  0.696594  2.0  2.0
4  -0.416147   0.000000  0.0  2.683841  2.0  2.0
5   1.583853 -12.709655 -2.0 -1.020637  2.0  2.0
6   1.583853  -1.826937 -4.0 -0.597049  2.0  2.0
7  -0.416147  -7.910215 -2.0  1.399167  2.0  2.0
8  -0.416147  13.949122 -4.0 -1.099218  2.0  2.0
9   1.583853  -0.914170 -1.0  2.370372  2.0  2.0
10  1.583853 -17.704687 -4.0  2.762937  2.0  2.0
11 -0.416147  26.458024 -4.0  1.029296  2.0  2.0
12 -0.416147   0.000000  0.0  1.644298  2.0  2.0
13 -0.416147   1.424345 -2.0  0.316596  2.0  2.0
14  1.583853  -4.389055 -4.0 -0.614032  2.0  2.0
15  1.583853   0.256587 -3.0  1.678510  2.0  2.0
16  1.583853  -4.298418 -4.0  0.537692  2.0  2.0
17 -0.416147  22.893824 -4.0  2.539663  2.0  2.0
18 -0.416147  -3.813646 -2.0  0.133521  2.0  2.0
19  1.583853  -0.000000  0.0  2.160975  2.0  2.0
20 -0.416147   9.999525 -4.0  2.401350  2.0  2.0
21  1.583853   0.000000  0.0  2.189590  2.0  2.0
22 -0.416147   4.268502 -4.0  2.491315  2.0  2.0
23  1.583853   6.490682 -3.0  0.624020  2.0  2.0
24  1.583853 -16.084745 -4.0  2.326873  2.0  2.0
25  1.583853   0.000000  0.0  2.357657  2.0  2.0
26 -0.416147   2.167212 -1.0 -0.757686  2.0  2.0
27  1.583853  -8.903033 -4.0  2.515443  2.0  2.0
28 -0.416147   2.123934 -3.0  2.009561  2.0  2.0
29  1.583853   1.619148 -1.0 -0.486714  2.0  2.0
30 -0.416147  -5.380065 -4.0  1.141114  2.0  2.0
31  1.583853  13.462115 -3.0 -0.590861  2.0  2.0
32  1.583853  -0.000000  0.0  1.232305  2.0  2.0
33 -0.416147 -11.884811 -3.0  2.742852  2.0  2.0
34  1.583853  -8.758983 -3.0  1.698087  2.0  2.0
35  1.583853   0.000000  0.0  2.251859  2.0  2.0
36  1.583853  -5.948495 -4.0  2.276695  2.0  2.0
37 -0.416147   0.148818 -4.0  0.296386  2.0  2.0
38 -0.416147 -11.547536 -3.0  2.679774  2.0  2.0
39 -0.416147  -0.000000  0.0  1.198505  2.0  2.0
40 -0.416147  13.356506 -4.0  2.122122  2.0  2.0
41 -0.416147   4.649400 -3.0  2.458633  2.0  2.0
42 -0.416147   5.982606 -4.0  2.629874  2.0  2.0
43 -0.416147   5.435865 -3.0 -0.155453  2.0  2.0
44  1.583853  -2.999396 -3.0  0.942940  2.0  2.0
45 -0.416147  -4.578702 -3.0  1.248532  2.0  2.0
46  1.583853  -1.258767 -2.0 -1.124205  2.0  2.0
47 -0.416147   4.483240 -2.0  2.154665  2.0  2.0
48  1.583853 -19.089570 -4.0  0.306482  2.0  2.0
49  1.583853  15.289626 -4.0 -0.778923  2.0  2.0
50 -0.416147  -1.756682 -4.0  0.897798  2.0  2.0
51  1.583853   2.462553 -1.0  2.618232  2.0  2.0
52 -0.416147 -10.236649 -4.0  0.847739  2.0  2.0
53  1.583853   1.436327 -1.0  2.746576  2.0  2.0
54  1.583853 -14.734869 -4.0  1.530438  2.0  2.0
55 -0.416147  -2.539657 -4.0  2.073292  2.0  2.0
56  1.583853  -0.000000  0.0  1.312113  2.0  2.0
57 -0.416147  -5.552970 -3.0 -1.580261  2.0  2.0
58  1.583853   8.138872 -3.0 -0.737563  2.0  2.0
59 -0.416147   4.235312 -2.0  0.724653  2.0  2.0
60 -0.416147  -1.712545 -2.0  1.724934  2.0  2.0
61  1.583853  -9.399302 -4.0  0.295211  2.0  2.0
62 -0.416147  -0.000000  0.0  1.728316  2.0  2.0
63  1.583853  -5.168230 -2.0  1.268793  2.0  2.0
64 -0.416147 -19.791238 -4.0  1.233703  2.0  2.0
65  1.583853  -5.853815 -2.0  1.730399  2.0  2.0
66  1.583853   4.028649 -1.0  2.223314  2.0  2.0
67  1.583853   9.217866 -4.0 -0.829127  2.0  2.0
68 -0.416147  12.528255 -4.0  2.497887  2.0  2.0
69 -0.416147 -19.240407 -4.0  1.805456  2.0  2.0
