           A          B         C         D         E         F
0   0.609014   3.061655  2.213009 -1.184504 -0.213009 -0.915980
1   0.930247  -0.335145 -1.065010  2.268498  0.065010 -0.375711
2   2.162754  -3.219556  1.997786  0.787081  0.002214 -1.407315
3   0.853078   0.023807  1.079205  1.416264 -0.079205  0.548940
4   0.561281   4.747432 -1.947666  0.557904 -0.052334 -0.974863
5   1.951824   4.850986  0.990374 -1.030921  0.009626 -1.618991
6   2.951653  -0.075207 -0.914691  0.224389 -0.085309  0.312223
7   0.667271  -0.249197  2.040703  0.381802 -0.040703 -0.840258
8   0.891442   0.602147 -1.022836  2.912398  0.022836 -0.470280
9   2.998358  -0.076295 -1.994441 -0.348721 -0.005559 -0.057323
10 -0.433812   3.983537  1.963475  0.725500  0.036525 -2.019516
11  0.786139   0.100873  0.911558  0.601693  0.088442 -0.666260
12  2.870985   0.367277  1.018727  2.706518 -0.018727  0.513593
13  1.767606   1.505421 -0.994830  2.582115 -0.005170 -1.805334
14  2.826056   1.136530 -0.964622 -1.114070 -0.035378 -0.598723
15  2.306745   0.998116 -1.916675  1.496239 -0.083325 -1.259025
16  0.941610   0.000794  0.173515  2.238906 -0.173515 -0.343417
17  0.286036  -0.945929 -0.841579  2.211563 -0.158421 -1.280709
18  0.764934  -0.523776  0.804757  1.947676  0.195243 -0.699857
19  1.944197   3.822193 -1.998113  0.611953 -0.001887 -1.626629
20  2.987187  -0.136786 -0.853061 -1.292776 -0.146939 -0.160251
21  2.017723  -1.111928  0.997914  0.277545  0.002086 -1.553072
22  0.712857   1.050215  2.162623  2.487009 -0.162623 -0.777233
23  2.988608  -0.085473 -1.073907 -0.873943  0.073907 -0.151088
24  0.749441  -0.009646 -0.218695  0.589875  0.218695 -0.723579
25  0.716775  -0.377870 -0.348275  2.595059  0.348275 -0.771630
26 -0.067470  -0.008905 -0.004204  2.630757  0.004204 -1.638318
27  2.945458  -0.475432  2.234763  2.707993 -0.234763 -0.331800
28  2.863868   0.154764  2.322167  2.284133 -0.322167  0.527898
29  2.259607   1.113587 -1.068973  2.298684  0.068973 -1.308181
30  0.963142  -0.431059 -0.759892 -0.254930 -0.240108 -0.272347
31  1.028421  -0.038594 -1.301253  1.096901  0.301253 -3.380576
32  2.939942  -0.150624 -0.849831  2.014990 -0.150169 -0.348336
33  0.189057   0.538588 -2.015451 -0.404870  0.015451 -1.380595
34  2.694022   0.016605  0.072555 -0.768689 -0.072555 -0.803736
35  0.678347   0.146344 -1.826202  1.510913 -0.173798  0.825286
36  0.892924   1.377585  1.520053  1.403133  0.479947  0.466997
37  0.844242  -0.127350 -0.212023  2.348322  0.212023  0.565647
